feature,dtype,missing_pct,n_unique
amortization_type,object,0.0,1
asset_recovery_costs,float64,99.9979,6
borrower_credit_score_at_origination,float64,0.0262,211
channel,object,0.0,3
co_borrower_credit_score_at_origination,float64,56.668600000000005,211
count_30plus_dq_past_12m,int64,0.0,13
count_60plus_dq_past_12m,int64,0.0,13
current_actual_upb,float64,0.0,816349
current_dq_num,float64,9.999999999999999e-05,67
current_interest_rate,float64,1.7287000000000001,416
current_loan_delinquency_status,object,0.0,68
disposition_date,datetime64[ns],99.9978,18
dq_status_change,float64,2.6504,54
dq_status_worsened,Int64,0.0,2
dti,int64,0.0,47
field_057,float64,99.9979,19
field_058,float64,99.9979,18
field_059,float64,99.9979,21
field_060,float64,99.9979,6
field_061,float64,99.9979,1
field_062,float64,99.9979,9
field_063,float64,99.1482,77
field_064,float64,94.6237,1
field_065,float64,100.0,0
field_066,float64,100.0,0
field_067,float64,100.0,0
field_068,float64,100.0,0
field_069,float64,100.0,0
field_070,float64,100.0,0
field_071,float64,100.0,0
field_072,float64,100.0,0
field_073,float64,63.5456,3
field_074,object,1.7312999999999998,2
field_075,float64,100.0,0
field_076,float64,100.0,0
field_077,float64,100.0,0
field_078,float64,100.0,0
field_079,object,0.0,3
field_080,float64,94.6237,1
field_081,object,0.0,2
field_082,float64,100.0,0
field_083,float64,100.0,0
field_084,float64,100.0,0
field_085,float64,100.0,0
field_086,object,0.0,3
field_087,object,0.0,2
field_088,float64,100.0,0
field_089,float64,100.0,0
field_090,float64,100.0,0
field_091,float64,100.0,0
field_092,float64,100.0,0
field_093,float64,100.0,0
field_094,float64,100.0,0
field_095,float64,100.0,0
field_096,float64,100.0,0
field_097,float64,100.0,0
field_098,float64,100.0,0
field_099,float64,100.0,0
field_100,float64,100.0,0
field_101,float64,100.0,0
field_102,object,0.0,5
field_103,object,0.0,1
field_104,float64,100.0,0
field_105,object,98.2687,2
field_106,object,0.0,4
field_107,float64,95.3651,4
field_108,float64,95.52040000000001,1536
field_109,int64,0.0,1
field_110,float64,100.0,0
field_111,float64,99.0765,206
field_112,float64,100.0,0
field_113,float64,100.0,0
first_payment_date,datetime64[ns],0.0,12
first_time_home_buyer_indicator,object,0.0,2
foreclosure_costs,float64,99.9979,21
foreclosure_date,datetime64[ns],99.9974,20
future_serious_dq_6m,float64,4.2658000000000005,2
interest_only_first_principal_and_interest_payment_date,float64,100.0,0
interest_only_loan_indicator,object,0.0,1
is_30plus_dq,Int64,0.0,2
is_60plus_dq,Int64,0.0,2
is_90plus_dq,Int64,0.0,2
is_current,Int64,0.0,2
last_paid_installment_date,datetime64[ns],99.9974,22
loan_age,float64,1.7312999999999998,83
loan_identifier,string,0.0,26503
loan_month_key,object,0.0,1000000
loan_payment_history,object,1.7312999999999998,32906
loan_purpose,object,0.0,3
master_servicer,float64,100.0,0
maturity_date,datetime64[ns],1.7312999999999998,127
max_dq_past_12m,float64,1.7312999999999998,67
modification_flag,object,1.7295,2
monthly_reporting_period,datetime64[ns],0.0,72
months_to_amortization,float64,100.0,0
mortgage_insurance_cancellation_indicator,float64,100.0,0
mortgage_insurance_percentage,float64,63.5456,8
msa,string,0.0,436
number_of_borrowers,int64,0.0,4
number_of_units,int64,0.0,4
occupancy_status,object,0.0,3
original_cltv,int64,0.0,75
original_interest_rate,float64,0.0,415
original_loan_term,int64,0.0,39
original_ltv,int64,0.0,68
original_upb,float64,0.0,725
origination_date,datetime64[ns],0.0,12
origination_quarter,object,0.0,5
origination_year,int32,0.0,2
paydown_pct,float64,0.0,816697
prepayment_penalty_indicator,object,0.0,1
prior_dq_num,float64,2.6502999999999997,67
property_preservation_and_repair_costs,float64,99.9979,20
property_state,string,0.0,54
property_type,object,0.0,5
reference_pool_id,float64,100.0,0
remaining_months_to_legal_maturity,float64,1.7312999999999998,372
remaining_months_to_maturity,float64,2.5827,360
reporting_month,int32,0.0,12
reporting_quarter,object,0.0,24
reporting_year,int32,0.0,6
repurchase_date,datetime64[ns],100.0,0
scheduled_principal_current,float64,100.0,0
seller_name,object,0.0,24
servicer_name,object,1.7312999999999998,34
source_file,object,0.0,1
total_principal_current,float64,2.6502999999999997,155108
unscheduled_principal_current,float64,100.0,0
upb_at_issuance,float64,100.0,0
upb_at_time_of_removal,float64,98.2687,16841
upb_ratio,float64,0.0,816697
zero_balance_code,float64,98.2687,7
zero_balance_effective_date,datetime64[ns],98.2687,71
zip_code_short,string,0.0,828
