feature,dtype,missing_pct,n_unique
amortization_type,category,0.0,1
borrower_credit_score_at_origination,float32,0.03680734445214079,216
channel,category,0.0,3
co_borrower_credit_score_at_origination,float32,52.69597270018952,216
count_30plus_dq_past_12m,float32,0.0,13
count_60plus_dq_past_12m,float32,0.0,13
current_actual_upb,float32,0.0,7627517
current_dq_num,float32,0.0,43
current_interest_rate,float32,0.41322388286439904,1362
current_loan_delinquency_status,category,0.0,43
disposition_date,datetime64[ns],99.9993532485356,30
dq_status_change,float32,1.961740914094087,50
dq_status_worsened,Int64,0.0,2
dti,float32,0.0028097758064793144,51
first_payment_date,datetime64[ns],0.0,15
first_time_home_buyer_indicator,category,0.0,2
foreclosure_date,datetime64[ns],99.99920952598794,35
future_serious_dq_6m,float64,2.1952325649997797,2
interest_only_loan_indicator,category,0.0,1
is_30plus_dq,Int64,0.0,2
is_60plus_dq,Int64,0.0,2
is_current,Int64,0.0,2
last_paid_installment_date,datetime64[ns],99.99920952598794,40
loan_age,float32,0.41401435687645194,69
loan_identifier,string,0.0,272990
loan_month_key,object,0.0,13915701
loan_purpose,category,0.0,3
maturity_date,datetime64[ns],0.41401435687645194,313
max_dq_past_12m,float32,0.41401435687645194,43
modification_flag,category,0.413367605412045,2
monthly_reporting_period,datetime64[ns],0.0,60
mortgage_insurance_percentage,float32,81.21378865498762,17
msa,category,0.0,446
number_of_borrowers,float32,0.0,5
number_of_units,float32,0.0,4
occupancy_status,category,0.0,3
original_cltv,float32,0.0,107
original_interest_rate,float32,0.0,1362
original_loan_term,float32,0.0,227
original_ltv,float32,0.0,94
original_upb,float32,0.0,893
origination_date,datetime64[ns],0.0,26
origination_quarter,object,0.0,10
origination_year,int32,0.0,4
paydown_pct,float32,0.0,3486526
prepayment_penalty_indicator,category,0.0,1
prior_dq_num,float32,1.961740914094087,42
property_state,category,0.0,54
property_type,category,0.0,5
reference_pool_id,float64,100.0,0
remaining_months_to_legal_maturity,float32,0.41401435687645194,401
remaining_months_to_maturity,float32,0.5422723583957431,360
reporting_month,int32,0.0,12
reporting_quarter,object,0.0,20
reporting_year,int32,0.0,5
repurchase_date,datetime64[ns],100.0,0
scheduled_principal_current,float32,100.0,0
seller_name,category,8.623352858760045e-05,32
servicer_name,category,0.41406465976812806,44
source_file,category,0.0,2
total_principal_current,float32,1.961740914094087,502786
unscheduled_principal_current,float32,100.0,0
upb_at_issuance,float32,100.0,0
upb_at_time_of_removal,float32,99.58598564312355,51212
upb_ratio,float32,0.0,3487294
zero_balance_code,category,99.58598564312355,7
zero_balance_effective_date,datetime64[ns],99.58598564312355,59
zip_code_short,category,0.0002730728405274014,884
