feature,semantic_type,missing_pct,n_unique,eda_recommendation,reason
amortization_type,categorical,0.0,1,drop,No useful variation.
channel,categorical,0.0,3,candidate,Usable for modeling after preprocessing and leakage review.
current_loan_delinquency_status,categorical,0.0,68,candidate,Usable for modeling after preprocessing and leakage review.
field_074,categorical,1.7312999999999998,2,exclude_until_mapped,Raw field without a confirmed business definition.
field_079,categorical,0.0,3,exclude_until_mapped,Raw field without a confirmed business definition.
field_081,categorical,0.0,2,exclude_until_mapped,Raw field without a confirmed business definition.
field_086,categorical,0.0,3,exclude_until_mapped,Raw field without a confirmed business definition.
field_087,categorical,0.0,2,exclude_until_mapped,Raw field without a confirmed business definition.
field_102,categorical,0.0,5,exclude_until_mapped,Raw field without a confirmed business definition.
field_103,categorical,0.0,1,exclude_until_mapped,Raw field without a confirmed business definition.
field_105,categorical,98.2687,2,exclude_until_mapped,Raw field without a confirmed business definition.
field_106,categorical,0.0,4,exclude_until_mapped,Raw field without a confirmed business definition.
first_time_home_buyer_indicator,categorical,0.0,2,candidate,Usable for modeling after preprocessing and leakage review.
interest_only_loan_indicator,categorical,0.0,1,drop,No useful variation.
loan_payment_history,categorical,1.7312999999999998,32906,encode_carefully,High-cardinality categorical field. Avoid unrestricted one-hot encoding.
loan_purpose,categorical,0.0,3,candidate,Usable for modeling after preprocessing and leakage review.
modification_flag,categorical,1.7295,2,candidate,Usable for modeling after preprocessing and leakage review.
msa,categorical,0.0,436,encode_carefully,High-cardinality categorical field. Avoid unrestricted one-hot encoding.
occupancy_status,categorical,0.0,3,candidate,Usable for modeling after preprocessing and leakage review.
prepayment_penalty_indicator,categorical,0.0,1,drop,No useful variation.
property_state,categorical,0.0,54,candidate,Usable for modeling after preprocessing and leakage review.
property_type,categorical,0.0,5,candidate,Usable for modeling after preprocessing and leakage review.
seller_name,categorical,0.0,24,candidate,Usable for modeling after preprocessing and leakage review.
servicer_name,categorical,1.7312999999999998,34,candidate,Usable for modeling after preprocessing and leakage review.
source_file,categorical,0.0,1,drop,Identifier or row key. It should not be used as a predictive signal.
zip_code_short,categorical,0.0,828,encode_carefully,High-cardinality categorical field. Avoid unrestricted one-hot encoding.
disposition_date,date_or_time,99.9978,18,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
first_payment_date,date_or_time,0.0,12,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
foreclosure_date,date_or_time,99.9974,20,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
interest_only_first_principal_and_interest_payment_date,date_or_time,100.0,0,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
last_paid_installment_date,date_or_time,99.9974,22,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
maturity_date,date_or_time,1.7312999999999998,127,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
monthly_reporting_period,date_or_time,0.0,72,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
months_to_amortization,date_or_time,100.0,0,drop_or_keep_only_with_strong_reason,Mostly missing in the panel.
origination_date,date_or_time,0.0,12,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
origination_quarter,date_or_time,0.0,5,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
origination_year,date_or_time,0.0,2,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
remaining_months_to_legal_maturity,date_or_time,1.7312999999999998,372,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
remaining_months_to_maturity,date_or_time,2.5827,360,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
reporting_month,date_or_time,0.0,12,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
reporting_quarter,date_or_time,0.0,24,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
reporting_year,date_or_time,0.0,6,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
repurchase_date,date_or_time,100.0,0,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
zero_balance_effective_date,date_or_time,98.2687,71,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
loan_identifier,identifier,0.0,26503,drop,Identifier or row key. It should not be used as a predictive signal.
loan_month_key,identifier,0.0,1000000,drop,Identifier or row key. It should not be used as a predictive signal.
reference_pool_id,identifier,100.0,0,drop,Identifier or row key. It should not be used as a predictive signal.
count_30plus_dq_past_12m,low_cardinality_numeric,0.0,13,candidate,Usable for modeling after preprocessing and leakage review.
count_60plus_dq_past_12m,low_cardinality_numeric,0.0,13,candidate,Usable for modeling after preprocessing and leakage review.
dq_status_worsened,low_cardinality_numeric,0.0,2,candidate,Usable for modeling after preprocessing and leakage review.
field_060,low_cardinality_numeric,99.9979,6,exclude_until_mapped,Raw field without a confirmed business definition.
field_061,low_cardinality_numeric,99.9979,1,exclude_until_mapped,Raw field without a confirmed business definition.
field_062,low_cardinality_numeric,99.9979,9,exclude_until_mapped,Raw field without a confirmed business definition.
field_064,low_cardinality_numeric,94.6237,1,exclude_until_mapped,Raw field without a confirmed business definition.
field_065,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_066,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_067,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_068,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_069,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_070,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_071,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_072,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_073,low_cardinality_numeric,63.5456,3,exclude_until_mapped,Raw field without a confirmed business definition.
field_075,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_076,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_077,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_078,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_080,low_cardinality_numeric,94.6237,1,exclude_until_mapped,Raw field without a confirmed business definition.
field_082,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_083,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_084,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
field_085,low_cardinality_numeric,100.0,0,exclude_until_mapped,Raw field without a confirmed business definition.
