loan_identifier,first_month,last_month,observed_months,first_month_index,last_month_index,expected_months,missing_months_inside_timeline
98836742,2020-01-01,2020-07-01,7,24241,24247,7,0
98836743,2020-01-01,2020-09-01,9,24241,24249,9,0
98836744,2020-01-01,2022-02-01,26,24241,24266,26,0
98836745,2020-01-01,2020-10-01,10,24241,24250,10,0
98836746,2020-01-01,2021-09-01,21,24241,24261,21,0
98836747,2020-01-01,2025-12-01,72,24241,24312,72,0
98836748,2020-01-01,2020-11-01,11,24241,24251,11,0
98836749,2020-01-01,2020-08-01,8,24241,24248,8,0
98836750,2020-01-01,2021-01-01,13,24241,24253,13,0
98836751,2020-01-01,2020-10-01,10,24241,24250,10,0
98836752,2020-01-01,2025-12-01,72,24241,24312,72,0
98836753,2020-01-01,2020-07-01,7,24241,24247,7,0
98836754,2020-01-01,2021-05-01,17,24241,24257,17,0
98836755,2020-01-01,2020-10-01,10,24241,24250,10,0
98836756,2020-01-01,2025-12-01,72,24241,24312,72,0
98836757,2020-01-01,2020-08-01,8,24241,24248,8,0
98836758,2020-01-01,2024-03-01,51,24241,24291,51,0
98836759,2020-01-01,2021-12-01,24,24241,24264,24,0
98836760,2020-01-01,2025-12-01,72,24241,24312,72,0
98836761,2020-01-01,2025-12-01,72,24241,24312,72,0
98836762,2020-01-01,2024-09-01,57,24241,24297,57,0
98836763,2020-01-01,2023-08-01,44,24241,24284,44,0
98836764,2020-01-01,2025-12-01,72,24241,24312,72,0
98836765,2020-01-01,2021-04-01,16,24241,24256,16,0
98836766,2020-01-01,2021-03-01,15,24241,24255,15,0
98836767,2020-01-01,2022-02-01,26,24241,24266,26,0
98836768,2020-01-01,2025-12-01,72,24241,24312,72,0
98836769,2020-01-01,2021-09-01,21,24241,24261,21,0
98836770,2020-01-01,2020-09-01,9,24241,24249,9,0
98836771,2020-01-01,2021-01-01,13,24241,24253,13,0
98836772,2020-01-01,2025-12-01,72,24241,24312,72,0
98836773,2020-01-01,2020-11-01,11,24241,24251,11,0
98836774,2020-01-01,2025-12-01,72,24241,24312,72,0
98836775,2020-01-01,2025-12-01,72,24241,24312,72,0
98836776,2020-01-01,2021-02-01,14,24241,24254,14,0
98836777,2020-01-01,2020-04-01,4,24241,24244,4,0
98836778,2020-01-01,2021-04-01,16,24241,24256,16,0
98836779,2020-01-01,2021-06-01,18,24241,24258,18,0
98836780,2020-01-01,2020-12-01,12,24241,24252,12,0
98836781,2020-01-01,2025-12-01,72,24241,24312,72,0
98836782,2020-01-01,2021-10-01,22,24241,24262,22,0
98836783,2020-01-01,2021-03-01,15,24241,24255,15,0
98836784,2020-01-01,2021-05-01,17,24241,24257,17,0
98836785,2020-01-01,2022-07-01,31,24241,24271,31,0
98836786,2020-01-01,2025-12-01,72,24241,24312,72,0
98836787,2020-01-01,2024-12-01,60,24241,24300,60,0
98836788,2020-01-01,2021-04-01,16,24241,24256,16,0
98836789,2020-01-01,2025-12-01,72,24241,24312,72,0
98836790,2020-01-01,2020-11-01,11,24241,24251,11,0
98836791,2020-01-01,2021-03-01,15,24241,24255,15,0
98836792,2020-01-01,2025-12-01,72,24241,24312,72,0
98836793,2020-01-01,2021-10-01,22,24241,24262,22,0
98836794,2020-01-01,2022-01-01,25,24241,24265,25,0
98836795,2020-01-01,2020-12-01,12,24241,24252,12,0
98836796,2020-01-01,2025-12-01,72,24241,24312,72,0
98836797,2020-01-01,2024-12-01,60,24241,24300,60,0
98836798,2020-01-01,2022-06-01,30,24241,24270,30,0
98836799,2020-01-01,2020-06-01,6,24241,24246,6,0
98836800,2020-01-01,2021-02-01,14,24241,24254,14,0
98836801,2020-01-01,2022-04-01,28,24241,24268,28,0
98836802,2020-01-01,2021-11-01,23,24241,24263,23,0
98836803,2020-01-01,2020-03-01,3,24241,24243,3,0
98836804,2020-01-01,2020-10-01,10,24241,24250,10,0
98836805,2020-01-01,2025-12-01,72,24241,24312,72,0
98836806,2020-01-01,2023-06-01,42,24241,24282,42,0
98836807,2020-01-01,2025-12-01,72,24241,24312,72,0
98836808,2020-01-01,2025-12-01,72,24241,24312,72,0
98836809,2020-01-01,2025-12-01,72,24241,24312,72,0
98836810,2020-01-01,2020-07-01,7,24241,24247,7,0
98836811,2020-01-01,2021-01-01,13,24241,24253,13,0
98836812,2020-01-01,2022-02-01,26,24241,24266,26,0
98836813,2020-01-01,2021-03-01,15,24241,24255,15,0
98836814,2020-01-01,2022-12-01,36,24241,24276,36,0
98836815,2020-01-01,2025-12-01,72,24241,24312,72,0
98836816,2020-01-01,2023-05-01,41,24241,24281,41,0
98836817,2020-01-01,2021-02-01,14,24241,24254,14,0
98836818,2020-01-01,2020-09-01,9,24241,24249,9,0
98836819,2020-01-01,2020-10-01,10,24241,24250,10,0
98836820,2020-01-01,2025-12-01,72,24241,24312,72,0
98836821,2020-01-01,2025-12-01,72,24241,24312,72,0
98836822,2020-01-01,2020-12-01,12,24241,24252,12,0
98836823,2020-01-01,2025-12-01,72,24241,24312,72,0
98836824,2020-01-01,2025-12-01,72,24241,24312,72,0
98836825,2020-01-01,2021-10-01,22,24241,24262,22,0
98836826,2020-01-01,2025-12-01,72,24241,24312,72,0
98836827,2020-01-01,2020-12-01,12,24241,24252,12,0
98836828,2020-01-01,2025-12-01,72,24241,24312,72,0
