feature,semantic_type,pearson_r,pearson_abs_r,pearson_p_value,pearson_n,spearman_rho_sample,spearman_abs_rho_sample,spearman_p_value_sample,sample_n,missing_pct,n_unique
current_dq_num,low_cardinality_numeric,0.4504246461165913,0.4504246461165913,0.0,957342,0.41907320621830524,0.41907320621830524,0.0,250000,0.0,3
is_current,low_cardinality_numeric,-0.4091869602101603,0.4091869602101603,0.0,957342,-0.4177655879933121,0.4177655879933121,0.0,250000,0.0,2
is_30plus_dq,low_cardinality_numeric,0.4091869602101603,0.4091869602101603,0.0,957342,0.4177655879933121,0.4177655879933121,0.0,250000,0.0,2
dq_status_worsened,low_cardinality_numeric,0.40484606223490976,0.40484606223490976,0.0,957342,0.4129551341521033,0.4129551341521033,0.0,250000,0.0,2
is_60plus_dq,low_cardinality_numeric,0.3814725192530364,0.3814725192530364,0.0,957342,0.3921226340752206,0.3921226340752206,0.0,250000,0.0,2
count_30plus_dq_past_12m,low_cardinality_numeric,0.17602715404570726,0.17602715404570726,0.0,957342,0.2307406682200241,0.2307406682200241,0.0,250000,0.0,13
count_60plus_dq_past_12m,low_cardinality_numeric,0.11331517883205594,0.11331517883205594,0.0,957342,0.2076997068465675,0.2076997068465675,0.0,250000,0.0,13
prior_dq_num,numeric,0.10589890253441755,0.10589890253441755,0.0,930839,0.28662446283988674,0.28662446283988674,0.0,242974,2.768394157991606,31
max_dq_past_12m,numeric,0.10471415690687383,0.10471415690687383,0.0,957342,0.23096696314606957,0.23096696314606957,0.0,250000,0.0,33
remaining_months_to_legal_maturity,date_or_time,0.07834862923291662,0.07834862923291662,0.0,957342,0.09316807321716035,0.09316807321716035,0.0,250000,0.0,370
borrower_credit_score_at_origination,numeric,-0.07583742455081775,0.07583742455081775,0.0,957086,-0.07188194846580027,0.07188194846580027,1.5777133840761278e-283,249931,0.026740704993617748,211
loan_age,numeric,-0.07495236484165967,0.07495236484165967,0.0,957342,-0.08591650073008689,0.08591650073008689,0.0,250000,0.0,82
remaining_months_to_maturity,date_or_time,0.0660260703682289,0.0660260703682289,0.0,949606,0.0992794847350919,0.0992794847350919,0.0,247983,0.8080706790258861,360
paydown_pct,numeric,-0.06329630903118676,0.06329630903118676,0.0,957342,-0.11573576512854035,0.11573576512854035,0.0,250000,0.0,806326
upb_ratio,numeric,0.06329630903118676,0.06329630903118676,0.0,957342,0.11573576512854035,0.11573576512854035,0.0,250000,0.0,806326
dq_status_change,numeric,0.06305346596324177,0.06305346596324177,0.0,930839,0.3039375980624012,0.3039375980624012,0.0,242974,2.768394157991606,33
co_borrower_credit_score_at_origination,numeric,-0.058326594541050866,0.058326594541050866,4.2515087846402e-310,415814,-0.05307766055307068,0.05307766055307068,1.492843494280975e-68,108526,56.56578317884309,211
dti,numeric,0.044690257070975674,0.044690257070975674,0.0,957342,0.044989120937058445,0.044989120937058445,3.638310097865669e-112,250000,0.0,47
current_actual_upb,numeric,0.0429159122050426,0.0429159122050426,0.0,957342,0.03678742127598583,0.03678742127598583,1.3173783903588155e-75,250000,0.0,806235
original_interest_rate,numeric,0.04231182852216103,0.04231182852216103,0.0,957342,0.040827813334370675,0.040827813334370675,1.0591459244275158e-92,250000,0.0,415
current_interest_rate,numeric,0.03741995179981069,0.03741995179981069,1.1071427098946053e-293,957342,0.03602434096545326,0.03602434096545326,1.409225483500926e-72,250000,0.0,416
original_upb,numeric,0.031845598021553206,0.031845598021553206,3.0011088437190926e-213,957342,0.02671116999309832,0.02671116999309832,1.065252304369027e-40,250000,0.0,725
original_cltv,numeric,0.02348150183637578,0.02348150183637578,7.67575364442396e-117,957342,0.022938897045954698,0.022938897045954698,1.8472713411945717e-30,250000,0.0,75
original_ltv,numeric,0.02233244718485724,0.02233244718485724,7.180281516803613e-106,957342,0.021546444176052178,0.021546444176052178,4.546438206560568e-27,250000,0.0,68
number_of_borrowers,low_cardinality_numeric,-0.01564525211864072,0.01564525211864072,6.674912325392626e-53,957342,-0.020849281585341974,0.020849281585341974,1.8921711526301871e-25,250000,0.0,4
total_principal_current,numeric,-0.011273034900489054,0.011273034900489054,1.4909193938965628e-27,930839,-0.08162249264554958,0.08162249264554958,0.0,242974,2.768394157991606,137145
original_loan_term,numeric,0.006877936344669112,0.006877936344669112,1.7000287530727062e-11,957342,0.0031488317648981972,0.0031488317648981972,0.11539225146962195,250000,0.0,39
mortgage_insurance_percentage,low_cardinality_numeric,-0.0019210280632850417,0.0019210280632850417,0.2573327219071685,347679,0.0020041493430873894,0.0020041493430873894,0.5461932511523412,90671,63.68288448642178,8
number_of_units,low_cardinality_numeric,-0.0010455741020733563,0.0010455741020733563,0.3062941560790499,957342,-0.0026203170050293763,0.0026203170050293763,0.19014367579094515,250000,0.0,4
