,p0.001,p0.010,p0.050,p0.250,p0.500,p0.750,p0.950,p0.990,p0.999,missing_pct
original_upb,36000.0,58000.0,94000.0,166000.0,241000.0,333000.0,484000.0,640000.0,736000.0,0.0
current_actual_upb,19167.33077,48960.9458,84525.33099999999,155448.33000000002,227423.57,316995.9225,470332.8095,617003.5050999998,730539.4993800144,0.0
original_interest_rate,3.0,3.25,3.5,3.75,3.875,4.125,4.875,5.5,6.0,0.0
current_interest_rate,2.875,3.25,3.5,3.75,3.875,4.125,4.875,5.5,6.0,0.0
dti,8.0,14.0,19.0,30.0,37.0,44.0,49.0,50.0,50.0,0.0
original_ltv,40.0,62.0,65.0,75.0,80.0,90.0,97.0,97.0,97.0,0.0
original_cltv,40.0,62.0,65.0,75.0,80.0,90.0,97.0,97.0,103.0,0.0
borrower_credit_score_at_origination,622.0,640.0,675.0,722.0,758.0,786.0,809.0,817.0,823.0,0.026740704993617748
co_borrower_credit_score_at_origination,623.0,643.0,681.0,730.0,765.0,791.0,810.0,817.0,824.0,56.56578317884309
loan_age,-1.0,0.0,1.0,9.0,24.0,46.0,66.0,70.0,71.0,0.0
remaining_months_to_maturity,28.0,157.0,274.0,307.0,332.0,350.0,358.0,360.0,360.0,0.8080706790258861
mortgage_insurance_percentage,6.0,12.0,12.0,25.0,25.0,30.0,35.0,35.0,35.0,63.68288448642178
upb_ratio,0.11122876628351266,0.5709962296888889,0.8594663342391304,0.9201981927973492,0.9617475978142076,0.9865660811121323,0.9985591739130434,1.030901865825688,1.0976591395701765,0.0
paydown_pct,-0.09765913957017541,-0.03090186582568808,0.0014408260869566147,0.013433918887867685,0.0382524021857924,0.07980180720265082,0.1405336657608695,0.4290037703111111,0.8887712337165081,0.0
