feature,train_missing_pct,test_missing_pct,train_unique_values,test_unique_values
original_interest_rate,0.0,0.0,415,197
current_interest_rate,0.0,0.0,416,196
original_upb,0.0,0.0,725,613
current_actual_upb,0.0,0.0,676858,132572
original_loan_term,0.0,0.0,39,16
loan_age,0.0,0.0,67,26
remaining_months_to_legal_maturity,0.0,0.0,337,217
remaining_months_to_maturity,0.6287626402633787,1.8368639594623128,360,307
original_ltv,0.0,0.0,68,62
original_cltv,0.0,0.0,75,68
number_of_borrowers,0.0,0.0,4,4
dti,0.0,0.0,47,47
borrower_credit_score_at_origination,0.027721489797019817,0.0211133788443944,211,206
co_borrower_credit_score_at_origination,56.471863914470624,57.10465198113871,211,204
number_of_units,0.0,0.0,4,4
mortgage_insurance_percentage,63.634557167599716,63.96016609191357,8,7
total_principal_current,3.2508966552673284,0.0,128893,72188
current_dq_num,0.0,0.0,3,3
is_current,0.0,0.0,2,2
is_30plus_dq,0.0,0.0,2,2
is_60plus_dq,0.0,0.0,2,2
is_90plus_dq,0.0,0.0,1,1
prior_dq_num,3.2508966552673284,0.0,30,20
dq_status_change,3.2508966552673284,0.0,32,22
dq_status_worsened,0.0,0.0,2,2
upb_ratio,0.0,0.0,674773,132507
paydown_pct,0.0,0.0,674773,132507
count_30plus_dq_past_12m,0.0,0.0,13,13
count_60plus_dq_past_12m,0.0,0.0,13,12
max_dq_past_12m,0.0,0.0,32,20
reporting_year,0.0,0.0,5,2
reporting_month,0.0,0.0,12,12
origination_year,0.0,0.0,2,2
channel,0.0,0.0,3,3
seller_name,0.0,0.0,24,17
servicer_name,0.0,0.0,32,18
first_time_home_buyer_indicator,0.0,0.0,2,2
loan_purpose,0.0,0.0,3,3
property_type,0.0,0.0,5,5
occupancy_status,0.0,0.0,3,3
property_state,0.0,0.0,54,54
amortization_type,0.0,0.0,1,1
prepayment_penalty_indicator,0.0,0.0,1,1
interest_only_loan_indicator,0.0,0.0,1,1
modification_flag,0.0,0.0,2,2
reporting_quarter,0.0,0.0,19,6
origination_quarter,0.0,0.0,5,5
