feature,preprocessing_role
original_interest_rate,numeric_scaled
current_interest_rate,numeric_scaled
original_upb,numeric_scaled
current_actual_upb,numeric_scaled
original_loan_term,numeric_scaled
loan_age,numeric_scaled
remaining_months_to_legal_maturity,numeric_scaled
remaining_months_to_maturity,numeric_scaled
original_ltv,numeric_scaled
original_cltv,numeric_scaled
number_of_borrowers,numeric_scaled
dti,numeric_scaled
borrower_credit_score_at_origination,numeric_scaled
co_borrower_credit_score_at_origination,numeric_scaled
number_of_units,numeric_scaled
mortgage_insurance_percentage,numeric_scaled
total_principal_current,numeric_scaled
current_dq_num,numeric_scaled
is_current,numeric_scaled
is_30plus_dq,numeric_scaled
is_60plus_dq,numeric_scaled
prior_dq_num,numeric_scaled
dq_status_change,numeric_scaled
dq_status_worsened,numeric_scaled
upb_ratio,numeric_scaled
paydown_pct,numeric_scaled
count_30plus_dq_past_12m,numeric_scaled
count_60plus_dq_past_12m,numeric_scaled
max_dq_past_12m,numeric_scaled
reporting_year,numeric_scaled
reporting_month,numeric_scaled
origination_year,numeric_scaled
channel,categorical_one_hot
seller_name,categorical_one_hot
servicer_name,categorical_one_hot
first_time_home_buyer_indicator,categorical_one_hot
loan_purpose,categorical_one_hot
property_type,categorical_one_hot
occupancy_status,categorical_one_hot
property_state,categorical_one_hot
amortization_type,categorical_one_hot
prepayment_penalty_indicator,categorical_one_hot
interest_only_loan_indicator,categorical_one_hot
modification_flag,categorical_one_hot
reporting_quarter,categorical_one_hot
origination_quarter,categorical_one_hot
