feature,train_missing_pct,test_missing_pct,train_unique_values,test_unique_values
original_interest_rate,0.0,0.0,1362,1293
current_interest_rate,0.0,0.0,1362,1293
original_upb,0.0,0.0,893,885
current_actual_upb,0.0,0.0,5439082,1933991
original_loan_term,0.0,0.0,227,218
loan_age,0.0,0.0,52,25
remaining_months_to_legal_maturity,0.0,0.0,348,333
remaining_months_to_maturity,0.04993425439151537,0.2554637362352132,360,325
original_ltv,0.0,0.0,94,94
original_cltv,0.0,0.0,107,107
number_of_borrowers,0.0,0.0,5,5
dti,0.002833219689743556,0.0027578241092228125,51,51
borrower_credit_score_at_origination,0.0363646232459015,0.03678450686860428,216,216
co_borrower_credit_score_at_origination,52.72238115314427,52.42384349834855,216,216
number_of_units,0.0,0.0,4,4
mortgage_insurance_percentage,81.22169824778783,81.39227127904638,17,15
total_principal_current,2.7138268179055904,0.0,407502,278141
current_dq_num,0.0,0.0,3,3
is_current,0.0,0.0,2,2
is_30plus_dq,0.0,0.0,2,2
is_60plus_dq,0.0,0.0,2,2
prior_dq_num,2.7138268179055904,0.0,30,29
dq_status_change,2.7138268179055904,0.0,32,30
dq_status_worsened,0.0,0.0,2,2
upb_ratio,0.0,0.0,2415445,1289374
paydown_pct,0.0,0.0,2415293,1289285
count_30plus_dq_past_12m,0.0,0.0,13,13
count_60plus_dq_past_12m,0.0,0.0,13,13
max_dq_past_12m,0.0,0.0,29,33
reporting_year,0.0,0.0,4,2
reporting_month,0.0,0.0,12,11
origination_year,0.0,0.0,4,3
channel,0.0,0.0,3,3
seller_name,0.0001192934606207813,0.0,32,26
servicer_name,6.95878520287891e-05,0.0,43,26
first_time_home_buyer_indicator,0.0,0.0,2,2
loan_purpose,0.0,0.0,3,3
property_type,0.0,0.0,5,5
occupancy_status,0.0,0.0,3,3
property_state,0.0,0.0,54,54
amortization_type,0.0,0.0,1,1
prepayment_penalty_indicator,0.0,0.0,1,1
interest_only_loan_indicator,0.0,0.0,1,1
modification_flag,0.0,0.0,2,2
reporting_quarter,0.0,0.0,15,4
origination_quarter,0.0,0.0,10,9
