feature,semantic_type,pearson_r,pearson_abs_r,pearson_p_value,pearson_n,spearman_rho_sample,spearman_abs_rho_sample,spearman_p_value_sample,missing_pct_actual,n_unique_actual,association_score,cramers_v_sample,top_reliable_category_lift_vs_base_sample,n_unique_sample,chi_square_p_value_sample,association_computed_on_sample,top_reliable_target_rate_category_sample,top_reliable_category_target_rate_sample,eda_recommendation,reason
current_loan_delinquency_status,categorical,,,,,,,,0.0,3,0.420439565311248,0.420439565311248,223.63276019069042,3.0,0.0,True,02,0.5680272108843537,candidate,Usable for modeling after preprocessing and leakage review.
current_dq_num,low_cardinality_numeric,0.3928932250344413,0.3928932250344413,0.0,13610219.0,0.31564554162455855,0.31564554162455855,0.0,0.0,3,0.3928932250344413,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
is_60plus_dq,low_cardinality_numeric,0.37489290775466877,0.37489290775466877,0.0,13610219.0,0.38549376751098363,0.38549376751098363,0.0,0.0,2,0.38549376751098363,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
is_30plus_dq,low_cardinality_numeric,0.32801407863333665,0.32801407863333665,0.0,13610219.0,0.3149436398490277,0.3149436398490277,0.0,0.0,2,0.32801407863333665,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
is_current,low_cardinality_numeric,-0.32801407863333665,0.32801407863333665,0.0,13610219.0,-0.3149436398490277,0.3149436398490277,0.0,0.0,2,0.32801407863333665,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
count_60plus_dq_past_12m,low_cardinality_numeric,0.22870923842704988,0.22870923842704988,0.0,13610219.0,0.27907147878655947,0.27907147878655947,0.0,0.0,13,0.27907147878655947,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
dq_status_worsened,low_cardinality_numeric,0.2755193017928478,0.2755193017928478,0.0,13610219.0,0.2657193682305908,0.2657193682305908,0.0,0.0,2,0.2755193017928478,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
count_30plus_dq_past_12m,low_cardinality_numeric,0.272566289392367,0.272566289392367,0.0,13610219.0,0.1907666419648232,0.1907666419648232,0.0,0.0,13,0.272566289392367,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
prior_dq_num,numeric,0.18709138510811996,0.18709138510811996,0.0,13337229.0,0.264547103604074,0.264547103604074,0.0,2.005772280372564,34,0.264547103604074,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
max_dq_past_12m,numeric,0.20841251803588323,0.20841251803588323,0.0,13610219.0,0.19053899530894572,0.19053899530894572,0.0,0.0,34,0.20841251803588323,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
dq_status_change,numeric,0.05328329049298238,0.05328329049298238,0.0,13337229.0,0.14763449293720182,0.14763449293720182,0.0,2.005772280372564,36,0.14763449293720182,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
borrower_credit_score_at_origination,numeric,-0.059597523249599944,0.059597523249599944,0.0,13605254.0,-0.050144822722529056,0.050144822722529056,7.604885485304905e-139,0.036479942020036564,216,0.059597523249599944,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
zip_code_short,categorical,,,,,,,,0.00027920197316442884,884,0.05006168683513699,0.05006168683513699,10.786279797217128,496.0,5.230592418773949e-05,True,292,0.0273972602739726,encode_carefully,High-cardinality categorical field. Avoid unrestricted one-hot encoding.
co_borrower_credit_score_at_origination,numeric,-0.049366524435377465,0.049366524435377465,0.0,6445958.0,-0.03887857279609032,0.03887857279609032,9.868656460988308e-41,52.63883703855169,216,0.049366524435377465,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
modification_flag,categorical,,,,,,,,0.0,2,0.04784506280808327,0.04784506280808327,30.508179097539006,2.0,1.785351687001241e-126,True,Y,0.07749077490774908,candidate,Usable for modeling after preprocessing and leakage review.
msa,categorical,,,,,,,,0.0,409,0.03760282859510856,0.03760282859510856,7.669495858472236,254.0,3.0024546786269907e-05,True,26820,0.01948051948051948,encode_carefully,High-cardinality categorical field. Avoid unrestricted one-hot encoding.
total_principal_current,numeric,-0.01054928406376146,0.01054928406376146,0.0,13337229.0,-0.03713192205997947,0.03713192205997947,1.7770057883171614e-75,2.005772280372564,443746,0.03713192205997947,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
original_cltv,numeric,0.030091769075866706,0.030091769075866706,0.0,13610219.0,0.03340469150327932,0.03340469150327932,1.167013021364305e-62,0.0,107,0.03340469150327932,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
original_ltv,numeric,0.029618897335131403,0.029618897335131403,0.0,13610219.0,0.032790576239194,0.032790576239194,1.9245117675419218e-60,0.0,94,0.032790576239194,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
current_interest_rate,numeric,0.031215915128067234,0.031215915128067234,0.0,13610219.0,0.028376571644970653,0.028376571644970653,1.0405532710791708e-45,0.0,1362,0.031215915128067234,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
original_interest_rate,numeric,0.031213413443189363,0.031213413443189363,0.0,13610219.0,0.028376560026357082,0.028376560026357082,1.0406395316566699e-45,0.0,1362,0.031213413443189363,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
