feature,semantic_type,dtype,missing_pct_actual,n_unique_actual,target_rate_when_missing,target_rate_when_present,analysis_method,top_values
reference_pool_id,identifier,float64,100.0,0,0.0024310409700240678,,identifier_review,<NA>: 13915701
loan_identifier,identifier,string,0.0,272990,,0.0024310409700240678,identifier_review,000122128334: 60; 000122224401: 60; 000122224547: 60; 000122225221: 60; 000122224544: 60
monthly_reporting_period,date_or_time,datetime64[ns],0.0,60,,0.0024310409700240678,categorical_or_date_association,2021-06-01: 272164; 2021-07-01: 271426; 2021-08-01: 270482; 2021-09-01: 268972; 2021-10-01: 267097
channel,categorical,category,0.0,3,,0.0024310409700240678,categorical_or_date_association,R: 9122738; C: 2746440; B: 2046523
seller_name,categorical,category,8.623352858760045e-05,32,0.0,0.002431043113451544,categorical_or_date_association,"Other: 6401727; Rocket Mortgage, LLC: 1600135; United Wholesale Mortgage, LLC: 817317; Wells Fargo Bank, N.A.: 721290; PennyMac Corp.: 429698"
servicer_name,categorical,category,0.41406465976812806,44,0.0,0.002431042220356303,categorical_or_date_association,"Other: 4948739; Rocket Mortgage, LLC: 1121418; JPMorgan Chase Bank, NA: 779665; Wells Fargo Bank, N.A.: 714701; Nationstar Mortgage LLC: 482407"
original_interest_rate,numeric,float32,0.0,1362,,0.0024310409700240678,numeric_association,2.875: 2172311; 2.75: 1967893; 2.625: 1272744; 2.5: 1021272; 3.25: 889409
current_interest_rate,numeric,float32,0.41322388286439904,1362,,0.0024310409700240678,numeric_association,2.875: 2163846; 2.75: 1960484; 2.625: 1268380; 2.5: 1017870; 3.25: 885064
original_upb,numeric,float32,0.0,893,,0.0024310409700240678,numeric_association,548000.0: 197157; 200000.0: 137014; 300000.0: 108368; 150000.0: 102869; 250000.0: 86845
upb_at_issuance,low_cardinality_numeric,float32,100.0,0,0.0024310409700240678,,numeric_association,<NA>: 13915701
current_actual_upb,numeric,float32,0.0,7627517,,0.0024310409700240678,numeric_association,0.0: 57632; 199000.0: 8957; 198000.0: 8443; 149000.0: 8230; 200000.0: 7654
original_loan_term,numeric,float32,0.0,227,,0.0024310409700240678,numeric_association,360.0: 9811541; 180.0: 2620827; 240.0: 859924; 120.0: 270536; 300.0: 152106
origination_date,date_or_time,datetime64[ns],0.0,26,,0.0024310409700240678,categorical_or_date_association,2021-03-01: 2648058; 2021-02-01: 2357918; 2021-01-01: 2308337; 2021-04-01: 2180530; 2020-12-01: 1777886
first_payment_date,date_or_time,datetime64[ns],0.0,15,,0.0024310409700240678,categorical_or_date_association,2021-05-01: 2659675; 2021-04-01: 2380330; 2021-03-01: 2311104; 2021-06-01: 2170240; 2021-07-01: 1713346
loan_age,numeric,float32,0.41401435687645194,69,,0.0024310409700240678,numeric_association,3.0: 270264; 4.0: 269717; 2.0: 269480; 5.0: 268269; 6.0: 266209
remaining_months_to_legal_maturity,date_or_time,float32,0.41401435687645194,401,,0.0024310409700240678,numeric_association,357.0: 191064; 356.0: 190673; 358.0: 190555; 355.0: 189623; 354.0: 188128
remaining_months_to_maturity,date_or_time,float32,0.5422723583957431,360,0.11114760559679432,0.002309305570961551,numeric_association,359.0: 181425; 357.0: 178144; 356.0: 177863; 358.0: 177190; 355.0: 175939
maturity_date,date_or_time,datetime64[ns],0.41401435687645194,313,,0.0024310409700240678,categorical_or_date_association,2051-04-01: 1805533; 2051-02-01: 1663474; 2051-03-01: 1652111; 2051-05-01: 1492004; 2051-01-01: 1256259
original_ltv,numeric,float32,0.0,94,,0.0024310409700240678,numeric_association,80.0: 1676530; 95.0: 910009; 75.0: 772649; 60.0: 530973; 90.0: 465291
original_cltv,numeric,float32,0.0,107,,0.0024310409700240678,numeric_association,80.0: 1679831; 95.0: 903428; 75.0: 769332; 60.0: 521765; 90.0: 481948
number_of_borrowers,low_cardinality_numeric,float32,0.0,5,,0.0024310409700240678,numeric_association,1.0: 7324032; 2.0: 6498979; 3.0: 80253; 4.0: 12377; 5.0: 60
dti,numeric,float32,0.0028097758064793144,51,0.015665796344647518,0.0024306685253224214,numeric_association,44.0: 494423; 43.0: 489463; 41.0: 475000; 42.0: 471516; 40.0: 465091
borrower_credit_score_at_origination,numeric,float32,0.03680734445214079,216,0.00866062437059416,0.0024287675922845687,numeric_association,801.0: 238673; 809.0: 234006; 808.0: 205535; 800.0: 205018; 797.0: 202950
co_borrower_credit_score_at_origination,numeric,float32,52.69597270018952,216,0.0033784363802491285,0.0013780728946729097,numeric_association,<NA>: 7333014; 809.0: 133232; 801.0: 131594; 808.0: 118538; 812.0: 108187
first_time_home_buyer_indicator,categorical,category,0.0,2,,0.0024310409700240678,categorical_or_date_association,N: 12045071; Y: 1870630
