feature,semantic_type,pearson_r,pearson_abs_r,pearson_p_value,pearson_n,spearman_rho_sample,spearman_abs_rho_sample,spearman_p_value_sample,missing_pct_actual,n_unique_actual,association_score,cramers_v_sample,top_reliable_category_lift_vs_base_sample,n_unique_sample,chi_square_p_value_sample,association_computed_on_sample,top_reliable_target_rate_category_sample,top_reliable_category_target_rate_sample,eda_recommendation,reason
current_loan_delinquency_status,categorical,,,,,,,,0.0,3,0.4624588379808999,0.4624588379808999,53.311189873887166,3.0,0.0,True,02,0.6936852026390198,candidate,Usable for modeling after preprocessing and leakage review.
current_dq_num,low_cardinality_numeric,0.4504246461165913,0.4504246461165913,0.0,957342.0,0.41907320621830524,0.41907320621830524,0.0,0.0,3,0.4504246461165913,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
is_30plus_dq,low_cardinality_numeric,0.4091869602101603,0.4091869602101603,0.0,957342.0,0.4177655879933121,0.4177655879933121,0.0,0.0,2,0.4177655879933121,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
is_current,low_cardinality_numeric,-0.4091869602101603,0.4091869602101603,0.0,957342.0,-0.4177655879933121,0.4177655879933121,0.0,0.0,2,0.4177655879933121,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
dq_status_worsened,low_cardinality_numeric,0.40484606223490976,0.40484606223490976,0.0,957342.0,0.4129551341521033,0.4129551341521033,0.0,0.0,2,0.4129551341521033,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
is_60plus_dq,low_cardinality_numeric,0.3814725192530364,0.3814725192530364,0.0,957342.0,0.3921226340752206,0.3921226340752206,0.0,0.0,2,0.3921226340752206,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
loan_payment_history,categorical,,,,,,,,0.0,26734,0.3836833615014583,0.3836833615014583,66.75156997935972,53.0,0.0,True,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000000102,0.8685714285714285,encode_carefully,High-cardinality categorical field. Avoid unrestricted one-hot encoding.
dq_status_change,numeric,0.06305346596324177,0.06305346596324177,0.0,930839.0,0.3039375980624012,0.3039375980624012,0.0,2.768394157991606,33,0.3039375980624012,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
prior_dq_num,numeric,0.10589890253441755,0.10589890253441755,0.0,930839.0,0.28662446283988674,0.28662446283988674,0.0,2.768394157991606,31,0.28662446283988674,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
max_dq_past_12m,numeric,0.10471415690687383,0.10471415690687383,0.0,957342.0,0.23096696314606957,0.23096696314606957,0.0,0.0,33,0.23096696314606957,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
