feature,min,p01,p05,median,p95,p99,max,missing_pct
original_upb,10000.0,58000.0,94000.0,241000.0,484000.0,640000.0,1397000.0,0.0
current_actual_upb,0.0,48960.9458,84525.33099999999,227423.57,470332.8095,617003.5050999998,1395341.34,0.0
original_interest_rate,2.875,3.25,3.5,3.875,4.875,5.5,6.375,0.0
current_interest_rate,2.75,3.25,3.5,3.875,4.875,5.5,6.375,0.0
borrower_credit_score_at_origination,620.0,640.0,675.0,758.0,809.0,817.0,834.0,0.026740704993617748
co_borrower_credit_score_at_origination,620.0,643.0,681.0,765.0,810.0,817.0,831.0,56.56578317884309
dti,4.0,14.0,19.0,37.0,49.0,50.0,50.0,0.0
original_ltv,15.0,62.0,65.0,80.0,97.0,97.0,97.0,0.0
original_cltv,15.0,62.0,65.0,80.0,97.0,97.0,104.0,0.0
loan_age,-1.0,0.0,1.0,24.0,66.0,70.0,80.0,0.0
remaining_months_to_maturity,1.0,157.0,274.0,332.0,358.0,360.0,360.0,0.8080706790258861
upb_ratio,0.0,0.5709962296888889,0.8594663342391304,0.9617475978142076,0.9985591739130434,1.030901865825688,1.303666322580645,0.0
paydown_pct,-0.3036663225806451,-0.03090186582568808,0.0014408260869566147,0.0382524021857924,0.1405336657608695,0.4290037703111111,1.0,0.0
